totalempreendimentos;DscClasseConsumo;MdaPotenciaInstaladaKW;SigUF
1;Comercial;,00;PR
13;Comercial;,01;SC
1;Comercial;,01;SP
1;Comercial;,02;PR
16;Comercial;,02;SC
13;Comercial;,03;SC
1;Comercial;,03;SP
2;Comercial;,04;SC
3;Comercial;,05;SC
3;Comercial;,05;SP
1;Comercial;,06;BA
1;Comercial;,06;PR
2;Comercial;,06;SC
3;Comercial;,06;SP
1;Comercial;,07;SC
2;Comercial;,08;SP
1;Comercial;,10;BA
1;Comercial;,10;PR
2;Comercial;,10;SP
26;Comercial;1,00;BA
8;Comercial;1,00;CE
2;Comercial;1,00;DF
1;Comercial;1,00;ES
5;Comercial;1,00;GO
1;Comercial;1,00;MA
21;Comercial;1,00;MG
15;Comercial;1,00;MS
2;Comercial;1,00;MT
1;Comercial;1,00;PA
3;Comercial;1,00;PB
19;Comercial;1,00;PE
1;Comercial;1,00;PI
29;Comercial;1,00;PR
5;Comercial;1,00;RJ
7;Comercial;1,00;RN
13;Comercial;1,00;RS
11;Comercial;1,00;SC
2;Comercial;1,00;SE
77;Comercial;1,00;SP
43;Comercial;10,00;AC
124;Comercial;10,00;AL
42;Comercial;10,00;AM
8;Comercial;10,00;AP
916;Comercial;10,00;BA
294;Comercial;10,00;CE
29;Comercial;10,00;DF
275;Comercial;10,00;ES
380;Comercial;10,00;GO
96;Comercial;10,00;MA
1953;Comercial;10,00;MG
567;Comercial;10,00;MS
626;Comercial;10,00;MT
351;Comercial;10,00;PA
191;Comercial;10,00;PB
284;Comercial;10,00;PE
179;Comercial;10,00;PI
1267;Comercial;10,00;PR
294;Comercial;10,00;RJ
326;Comercial;10,00;RN
213;Comercial;10,00;RO
9;Comercial;10,00;RR
665;Comercial;10,00;RS
169;Comercial;10,00;SC
134;Comercial;10,00;SE
1695;Comercial;10,00;SP
130;Comercial;10,00;TO
2;Comercial;10,00;
3;Comercial;100,00;AC
4;Comercial;100,00;AL
3;Comercial;100,00;AM
1;Comercial;100,00;AP
17;Comercial;100,00;BA
85;Comercial;100,00;CE
10;Comercial;100,00;DF
12;Comercial;100,00;ES
53;Comercial;100,00;GO
5;Comercial;100,00;MA
45;Comercial;100,00;MG
22;Comercial;100,00;MS
46;Comercial;100,00;MT
7;Comercial;100,00;PA
34;Comercial;100,00;PB
32;Comercial;100,00;PE
8;Comercial;100,00;PI
67;Comercial;100,00;PR
47;Comercial;100,00;RJ
17;Comercial;100,00;RN
8;Comercial;100,00;RO
24;Comercial;100,00;RS
12;Comercial;100,00;SC
2;Comercial;100,00;SE
34;Comercial;100,00;SP
16;Comercial;100,00;TO
1;Comercial;1000,00;AL
1;Comercial;1000,00;AM
1;Comercial;1000,00;BA
1;Comercial;1000,00;CE
22;Comercial;1000,00;DF
3;Comercial;1000,00;ES
6;Comercial;1000,00;GO
8;Comercial;1000,00;MA
95;Comercial;1000,00;MG
7;Comercial;1000,00;MS
3;Comercial;1000,00;MT
4;Comercial;1000,00;PA
2;Comercial;1000,00;PB
8;Comercial;1000,00;PE
17;Comercial;1000,00;PR
15;Comercial;1000,00;RJ
3;Comercial;1000,00;RN
1;Comercial;1000,00;RR
6;Comercial;1000,00;RS
3;Comercial;1000,00;SC
1;Comercial;1000,00;SE
31;Comercial;1000,00;SP
2;Comercial;1000,00;TO
1;Comercial;100,04;RN
5;Comercial;10,01;BA
1;Comercial;10,01;CE
1;Comercial;10,01;GO
1;Comercial;10,01;PA
1;Comercial;10,01;PE
1;Comercial;10,01;RN
1;Comercial;10,01;RO
3;Comercial;10,01;RS
1;Comercial;10,01;SP
1;Comercial;10,02;MG
1;Comercial;100,28;DF
1;Comercial;10,03;BA
1;Comercial;10,03;ES
2;Comercial;10,03;SP
1;Comercial;100,32;SC
1;Comercial;10,04;MG
6;Comercial;10,05;BA
2;Comercial;10,05;CE
1;Comercial;10,05;DF
3;Comercial;10,05;GO
4;Comercial;10,05;MG
2;Comercial;10,05;MT
2;Comercial;10,05;PB
2;Comercial;10,05;PE
